NAME,GS<br> follow link to MSigDB,GS DETAILS,SIZE,ES,NES,NOM p-val,FDR q-val,FWER p-val,RANK AT MAX,LEADING EDGE
ZHAN_MULTIPLE_MYELOMA_PR_UP,ZHAN_MULTIPLE_MYELOMA_PR_UP,,45,0.8669529,1.9044355,0,0.058410663,0.734,930,"tags=76%, list=5%, signal=79%"
FLORIO_NEOCORTEX_BASAL_RADIAL_GLIA_DN,FLORIO_NEOCORTEX_BASAL_RADIAL_GLIA_DN,,190,0.6690469,1.9037187,0.015594542,0.057990626,0.735,1088,"tags=58%, list=5%, signal=61%"
KOKKINAKIS_METHIONINE_DEPRIVATION_96HR_DN,KOKKINAKIS_METHIONINE_DEPRIVATION_96HR_DN,,72,0.49571273,1.9032016,0,0.05738614,0.735,2906,"tags=43%, list=14%, signal=50%"
RHODES_CANCER_META_SIGNATURE,RHODES_CANCER_META_SIGNATURE,,65,0.7736053,1.9021145,0,0.057209626,0.739,3045,"tags=82%, list=15%, signal=95%"
TURASHVILI_BREAST_DUCTAL_CARCINOMA_VS_LOBULAR_NORMAL_UP,TURASHVILI_BREAST_DUCTAL_CARCINOMA_VS_LOBULAR_NORMAL_UP,,73,0.7006128,1.9013264,0.001980198,0.057054877,0.744,2695,"tags=59%, list=13%, signal=68%"
LINDGREN_BLADDER_CANCER_CLUSTER_3_UP,LINDGREN_BLADDER_CANCER_CLUSTER_3_UP,,326,0.5759693,1.9004184,0.007736944,0.056693792,0.746,3757,"tags=52%, list=18%, signal=62%"
LINDGREN_BLADDER_CANCER_CLUSTER_1_DN,LINDGREN_BLADDER_CANCER_CLUSTER_1_DN,,375,0.4832634,1.8991799,0.001964637,0.05679814,0.747,2780,"tags=42%, list=14%, signal=47%"
SOTIRIOU_BREAST_CANCER_GRADE_1_VS_3_UP,SOTIRIOU_BREAST_CANCER_GRADE_1_VS_3_UP,,154,0.8411138,1.8984556,0,0.0565049,0.751,2760,"tags=90%, list=13%, signal=103%"
REACTOME_GOLGI_TO_ER_RETROGRADE_TRANSPORT,REACTOME_GOLGI_TO_ER_RETROGRADE_TRANSPORT,,133,0.50695735,1.898183,0,0.055838604,0.752,2248,"tags=37%, list=11%, signal=41%"
WANG_RESPONSE_TO_GSK3_INHIBITOR_SB216763_DN,WANG_RESPONSE_TO_GSK3_INHIBITOR_SB216763_DN,,362,0.5159007,1.8974099,0.009633912,0.055489305,0.756,3403,"tags=46%, list=17%, signal=54%"
DELPUECH_FOXO3_TARGETS_DN,DELPUECH_FOXO3_TARGETS_DN,,40,0.6429318,1.8951954,0.003853565,0.056258906,0.764,2299,"tags=45%, list=11%, signal=51%"
CROONQUIST_IL6_DEPRIVATION_DN,CROONQUIST_IL6_DEPRIVATION_DN,,95,0.7746774,1.8947817,0.001897533,0.055793438,0.766,2048,"tags=75%, list=10%, signal=83%"
LE_EGR2_TARGETS_UP,LE_EGR2_TARGETS_UP,,109,0.6184354,1.8939539,0.011516315,0.055553664,0.769,3668,"tags=64%, list=18%, signal=78%"
TANG_SENESCENCE_TP53_TARGETS_DN,TANG_SENESCENCE_TP53_TARGETS_DN,,56,0.71591216,1.8935388,0.011583012,0.055089537,0.769,1127,"tags=57%, list=5%, signal=60%"
REACTOME_DNA_REPAIR,REACTOME_DNA_REPAIR,,328,0.5301656,1.8894866,0.001937985,0.057192795,0.782,3731,"tags=48%, list=18%, signal=58%"
DESERT_STEM_CELL_HEPATOCELLULAR_CARCINOMA_SUBCLASS_UP,DESERT_STEM_CELL_HEPATOCELLULAR_CARCINOMA_SUBCLASS_UP,,242,0.5414347,1.8894626,0.009940358,0.05647898,0.782,4026,"tags=51%, list=20%, signal=62%"
OUELLET_OVARIAN_CANCER_INVASIVE_VS_LMP_UP,OUELLET_OVARIAN_CANCER_INVASIVE_VS_LMP_UP,,116,0.6294683,1.8868512,0.003831418,0.05759102,0.788,4075,"tags=65%, list=20%, signal=80%"
GRADE_COLON_AND_RECTAL_CANCER_UP,GRADE_COLON_AND_RECTAL_CANCER_UP,,290,0.55528504,1.8853002,0.003944773,0.05789657,0.795,3411,"tags=49%, list=17%, signal=58%"
REACTOME_M_PHASE,REACTOME_M_PHASE,,411,0.5401954,1.8830853,0.007905139,0.058606353,0.802,5161,"tags=59%, list=25%, signal=78%"
DOANE_BREAST_CANCER_ESR1_UP,DOANE_BREAST_CANCER_ESR1_UP,,110,0.61683387,1.8822837,0.006012024,0.05852556,0.803,3516,"tags=55%, list=17%, signal=65%"
CROONQUIST_NRAS_VS_STROMAL_STIMULATION_DN,CROONQUIST_NRAS_VS_STROMAL_STIMULATION_DN,,97,0.5678137,1.8819238,0.006024096,0.058022812,0.805,2048,"tags=45%, list=10%, signal=50%"
REACTOME_DNA_REPLICATION_PRE_INITIATION,REACTOME_DNA_REPLICATION_PRE_INITIATION,,155,0.65616584,1.8813875,0.007827789,0.05773055,0.806,5195,"tags=76%, list=25%, signal=101%"
MEINHOLD_OVARIAN_CANCER_LOW_GRADE_DN,MEINHOLD_OVARIAN_CANCER_LOW_GRADE_DN,,19,0.7422322,1.880539,0.001941748,0.057515215,0.807,1427,"tags=58%, list=7%, signal=62%"
REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE,REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE,,235,0.5689228,1.8767372,0.005725191,0.05933943,0.816,5161,"tags=64%, list=25%, signal=84%"
STEIN_ESRRA_TARGETS_RESPONSIVE_TO_ESTROGEN_DN,STEIN_ESRRA_TARGETS_RESPONSIVE_TO_ESTROGEN_DN,,41,0.6870915,1.8737044,0.007619048,0.06089164,0.825,2996,"tags=61%, list=15%, signal=71%"
BORCZUK_MALIGNANT_MESOTHELIOMA_UP,BORCZUK_MALIGNANT_MESOTHELIOMA_UP,,309,0.56392694,1.872713,0.005769231,0.060935438,0.829,4380,"tags=58%, list=21%, signal=72%"
PRAMOONJAGO_SOX4_TARGETS_DN,PRAMOONJAGO_SOX4_TARGETS_DN,,49,0.6122892,1.8717355,0.002004008,0.061100695,0.835,3436,"tags=55%, list=17%, signal=66%"
WP_GASTRIC_CANCER_NETWORK_1,WP_GASTRIC_CANCER_NETWORK_1,,28,0.6672108,1.8690351,0.005703422,0.06228283,0.843,2267,"tags=61%, list=11%, signal=68%"
MISSIAGLIA_REGULATED_BY_METHYLATION_DN,MISSIAGLIA_REGULATED_BY_METHYLATION_DN,,120,0.6447599,1.8674226,0.013565891,0.062786505,0.85,3186,"tags=58%, list=16%, signal=69%"
SHEPARD_BMYB_TARGETS,SHEPARD_BMYB_TARGETS,,76,0.5504734,1.8668269,0.013779528,0.06254204,0.851,832,"tags=36%, list=4%, signal=37%"
SMITH_LIVER_CANCER,SMITH_LIVER_CANCER,,47,0.5700342,1.8645304,0.002016129,0.06366015,0.854,3677,"tags=47%, list=18%, signal=57%"
REACTOME_S_PHASE,REACTOME_S_PHASE,,163,0.5889892,1.8643005,0.00952381,0.063153334,0.855,4825,"tags=64%, list=24%, signal=83%"
KEGG_MEDICUS_REFERENCE_ORGANIZATION_OF_THE_OUTER_KINETOCHORE,KEGG_MEDICUS_REFERENCE_ORGANIZATION_OF_THE_OUTER_KINETOCHORE,,19,0.8069056,1.8641263,0.003824092,0.0625855,0.855,2069,"tags=79%, list=10%, signal=88%"
REACTOME_SYNTHESIS_OF_DNA,REACTOME_SYNTHESIS_OF_DNA,,121,0.656871,1.8627667,0.003891051,0.06289129,0.859,4825,"tags=71%, list=24%, signal=92%"
WHITFIELD_CELL_CYCLE_LITERATURE,WHITFIELD_CELL_CYCLE_LITERATURE,,44,0.8220981,1.8616564,0.005617978,0.06303511,0.862,2267,"tags=82%, list=11%, signal=92%"
REACTOME_CHROMOSOME_MAINTENANCE,REACTOME_CHROMOSOME_MAINTENANCE,,136,0.6263961,1.861504,0.001980198,0.06252926,0.862,3731,"tags=60%, list=18%, signal=72%"
REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS,REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS,,37,0.77154696,1.8614244,0.001919386,0.061985135,0.862,3288,"tags=73%, list=16%, signal=87%"
KANG_DOXORUBICIN_RESISTANCE_UP,KANG_DOXORUBICIN_RESISTANCE_UP,,54,0.8576223,1.8589243,0.001858736,0.06314729,0.867,954,"tags=81%, list=5%, signal=85%"
REN_BOUND_BY_E2F,REN_BOUND_BY_E2F,,61,0.7647983,1.8580332,0,0.063235976,0.872,3875,"tags=84%, list=19%, signal=103%"
KEGG_MEDICUS_REFERENCE_LONG_PATCH_BER,KEGG_MEDICUS_REFERENCE_LONG_PATCH_BER,,17,0.81869763,1.856765,0,0.06359747,0.877,2515,"tags=82%, list=12%, signal=94%"
BURTON_ADIPOGENESIS_PEAK_AT_16HR,BURTON_ADIPOGENESIS_PEAK_AT_16HR,,41,0.6935675,1.8566515,0.003944773,0.06307477,0.877,4795,"tags=78%, list=23%, signal=102%"
ISHIDA_E2F_TARGETS,ISHIDA_E2F_TARGETS,,53,0.7905244,1.8564551,0.005576208,0.06259762,0.877,2267,"tags=81%, list=11%, signal=91%"
MOLENAAR_TARGETS_OF_CCND1_AND_CDK4_DN,MOLENAAR_TARGETS_OF_CCND1_AND_CDK4_DN,,58,0.7378202,1.8536667,0.01171875,0.06387055,0.884,2332,"tags=62%, list=11%, signal=70%"
LIEN_BREAST_CARCINOMA_METAPLASTIC_VS_DUCTAL_DN,LIEN_BREAST_CARCINOMA_METAPLASTIC_VS_DUCTAL_DN,,114,0.6078554,1.8476808,0.003944773,0.06753265,0.895,3206,"tags=54%, list=16%, signal=64%"
REACTOME_ORC1_REMOVAL_FROM_CHROMATIN,REACTOME_ORC1_REMOVAL_FROM_CHROMATIN,,71,0.69504505,1.8475032,0.005825243,0.06708047,0.895,4761,"tags=76%, list=23%, signal=99%"
KEGG_MEDICUS_REFERENCE_COPI_VESICLE_FORMATION,KEGG_MEDICUS_REFERENCE_COPI_VESICLE_FORMATION,,23,0.7351553,1.8473208,0.003937008,0.06660107,0.895,1718,"tags=57%, list=8%, signal=62%"
MORI_MATURE_B_LYMPHOCYTE_DN,MORI_MATURE_B_LYMPHOCYTE_DN,,76,0.5613695,1.8472799,0.008,0.06602,0.895,3422,"tags=51%, list=17%, signal=61%"
REACTOME_SEPARATION_OF_SISTER_CHROMATIDS,REACTOME_SEPARATION_OF_SISTER_CHROMATIDS,,190,0.57767975,1.8468361,0.007722008,0.06572807,0.895,5161,"tags=66%, list=25%, signal=88%"
WANG_METASTASIS_OF_BREAST_CANCER_ESR1_UP,WANG_METASTASIS_OF_BREAST_CANCER_ESR1_UP,,22,0.8172143,1.8466533,0.001960784,0.06529532,0.898,1337,"tags=64%, list=7%, signal=68%"
WP_DNA_REPLICATION,WP_DNA_REPLICATION,,42,0.7397526,1.8462365,0.001930502,0.06499153,0.899,2700,"tags=64%, list=13%, signal=74%"
REACTOME_MITOTIC_SPINDLE_CHECKPOINT,REACTOME_MITOTIC_SPINDLE_CHECKPOINT,,111,0.6124487,1.8461257,0.011650485,0.064509444,0.899,1412,"tags=44%, list=7%, signal=47%"
REACTOME_RESOLUTION_OF_SISTER_CHROMATID_COHESION,REACTOME_RESOLUTION_OF_SISTER_CHROMATID_COHESION,,125,0.60259414,1.8457152,0.005802708,0.064296916,0.899,1825,"tags=45%, list=9%, signal=49%"
KAUFFMANN_MELANOMA_RELAPSE_UP,KAUFFMANN_MELANOMA_RELAPSE_UP,,61,0.7601771,1.8456267,0.001926782,0.06379282,0.899,3413,"tags=70%, list=17%, signal=84%"
REACTOME_SWITCHING_OF_ORIGINS_TO_A_POST_REPLICATIVE_STATE,REACTOME_SWITCHING_OF_ORIGINS_TO_A_POST_REPLICATIVE_STATE,,92,0.6474222,1.8434978,0.007782101,0.06472173,0.907,5130,"tags=72%, list=25%, signal=95%"
SONG_TARGETS_OF_IE86_CMV_PROTEIN,SONG_TARGETS_OF_IE86_CMV_PROTEIN,,55,0.7329898,1.8424801,0.011278195,0.06483255,0.907,2036,"tags=62%, list=10%, signal=68%"
REACTOME_MITOTIC_G2_G2_M_PHASES,REACTOME_MITOTIC_G2_G2_M_PHASES,,199,0.50534004,1.8418357,0.003773585,0.06471172,0.908,5130,"tags=55%, list=25%, signal=73%"
BOYAULT_LIVER_CANCER_SUBCLASS_G23_UP,BOYAULT_LIVER_CANCER_SUBCLASS_G23_UP,,53,0.66515434,1.8399223,0.007797271,0.06555335,0.911,3212,"tags=60%, list=16%, signal=71%"
KEGG_MEDICUS_REFERENCE_HOMOLOGOUS_RECOMBINATION,KEGG_MEDICUS_REFERENCE_HOMOLOGOUS_RECOMBINATION,,33,0.68614185,1.8389921,0.011152417,0.065624245,0.913,3369,"tags=70%, list=16%, signal=83%"
MUELLER_PLURINET,MUELLER_PLURINET,,299,0.5705131,1.8372649,0.00591716,0.06631306,0.917,3377,"tags=54%, list=16%, signal=64%"
FUJII_YBX1_TARGETS_DN,FUJII_YBX1_TARGETS_DN,,194,0.5884859,1.8367846,0.023255814,0.06615626,0.917,3686,"tags=57%, list=18%, signal=69%"
HU_GENOTOXIN_ACTION_DIRECT_VS_INDIRECT_24HR,HU_GENOTOXIN_ACTION_DIRECT_VS_INDIRECT_24HR,,51,0.54912585,1.8340954,0.002028398,0.067685574,0.92,5649,"tags=55%, list=28%, signal=76%"
WP_N_GLYCAN_BIOSYNTHESIS,WP_N_GLYCAN_BIOSYNTHESIS,,56,0.58404326,1.8320976,0.00204918,0.0686242,0.923,3334,"tags=54%, list=16%, signal=64%"
CAFFAREL_RESPONSE_TO_THC_DN,CAFFAREL_RESPONSE_TO_THC_DN,,31,0.7016311,1.8310837,0.003944773,0.068828136,0.924,2252,"tags=55%, list=11%, signal=62%"
